Work、、、Country Pleasin' Brand,Education、、、Mclaurin Attendance Center、、、High school,,"Star, Mississippi",Male
,,February 24,"Los Angeles, California",Female
"Work、、、Kitchen Manager/Chef、、、July 3, 2022 - Present",,June 12,"Dallas, Texas",Male
Work、、、Rich Hobo Clothing Company、、、Dreamer、、、February 2007 - Present、、、You desire? Good! Let's chase dreams & race limit  free! 、、、City of Houston、、、Recreation Assistant、、、U.S. Army、、、Battle Buddies!,Education、、、Nimitz High School、、、High school,,"Houston, Texas",Male
,,September 14,"California City, California",Male
"Work、、、Decatur Memorial Hospital、、、Radiology Tech Asst.、、、June 22, 2021 to present",Education、、、Macarthur High School、、、High school,,"Decatur, Illinois",Female
"Work、、、US Military、、、January 9, 2021 - Present","Education、、、John Marshall School Of Engineering、、、High school、、、January 14, 2016 to present",,"Los Angeles, California",Male
,,"April 6, 1990","San Jose, California",Male
"Work、、、Amaze Cannabis、、、cultivation manager、、、November 7, 2022 to present、、、Boss shit、、、ACE Revolution Cannabis、、、Head cultivator、、、Morton Auto Auction、、、Detailer、、、PPD Pins、、、Assistant、、、The best ",Education、、、Northeastern Institute of Cannabis、、、College、、、Illinois Central College、、、College、、、Il Valley Central High School、、、High school,,"Mossville, Illinois",Male
Work、、、Proffesional Yelper、、、Writer、、、Pay Phone House Painter、、、House Painter,Education、、、Toll Gate High School、、、High school、、、Class of 2011,,"Harrisburg, Pennsylvania",Male
"Work、、、Investor、、、April 17, 2012 - Present",Education、、、Pinnicle Career Institute、、、College、、、Class of 2014、、、Certificate of completion,,"Kansas City, Missouri",Male
"Work、、、Service Technician、、、December 9, 2019 - Present、、、Speedy Metals、、、Truck Driver/Loader、、、On February 1, 2018、、、Oak Creek, Wisconsin",Education、、、Waukesha South High School、、、High school、、、Class of 2013,,"Milwaukee, Wisconsin",Male
,Education、、、UT Pan American、、、Master of Social Work、、、Class of 2012、、、UT Pan American、、、Bachelor Degree Social Work、、、Class of 2010、、、PSJA North High School、、、High school、、、Class of 2006,June 29,"Pharr, Texas",
Work、、、Student,Education、、、Omaha Benson High School Magnet、、、High school,,"Lincoln, Nebraska",Female
"Work、、、Optum、、、Senior Marketing Specialist、、、August 30, 2021 - Present",Education、、、Oklahoma State University、、、Business、、、Class of 2016、、、McKinney High School、、、High school、、、Class of 2013,,"McKinney, Texas",Female
Work、、、Notice: Accessories for Living,Education、、、University of Dayton、、、College、、、Evanston Township High School、、、High school,,"Chicago, Illinois",Female
Work、、、Notice: Accessories for Living,Education、、、University of Dayton、、、College、、、Evanston Township High School、、、High school,,"Chicago, Illinois",Female
"Work、、、Walgreens、、、Pharmacy Intern、、、April 24, 2021 - Present、、、St. Ann, Missouri","Education、、、SIUE School of Pharmacy、、、College、、、July 31, 2020 - Present",,"Overland, Missouri",Female
"Work、、、National Forest Foundation、、、Reforestation Partnerships Coordinator、、、September 2021 - Present、、、Gateway Region YMCA Campus Y、、、Program Director of Specialty & Outreach Programs、、、January 2, 2019 - August 2021、、、St. Louis",Education、、、Missouri State University、、、Exercise and Movement Science、、、Class of 2018,June 19,"Annapolis, Missouri",
"Work、、、Struckman Ranch、、、December 3, 2010 - Present、、、Burwell, Nebraska","Education、、、Ord Jr-Sr High School、、、High school、、、August 25, 2016 - 2022",,"Ord, Nebraska",Female
Work、、、NBA,"Education、、、Catalina Magnet High School、、、College、、、Catalina Magnet High School、、、High school、、、August 17, 2010 - May 24, 2014",,"Tucson, Arizona",Male
,Education、、、Casco Bay High School、、、High school,"February 10, 1998","Portland, Maine",
"Work、、、U.S. Army、、、November 4, 2018 - Present、、、Self-Employed",Education、、、Eastern Polytechnic Kenema、、、College,,Washington D.C.,Male
"Work、、、Hall County, Georgia","Education、、、Lanier Technical College、、、College、、、South Hall High School, Gainesville, GA、、、College",,"Gainesville, Georgia",Female
,"Education、、、Kabwe High school、、、High school、、、July 29, 2022 - Present",September 20,"Phoenix, Arizona",
"Work、、、Swagel Wootton Eye Institute、、、Multimedia Specialist、、、February 9, 2022 - Present、、、Arizona Eye Consultants、、、Ophthalmic Medical Scribe、、、Tucson, Arizona、、、The Gothard Lab、、、Undergraduate Research Assistant、、、Tucson, Arizona、、、Arizona Daily Wildcat、、、Science Reporter、、、UA College of Architecture, Planning, and Landscape Architecture、、、Office Assistant、、、Tucson, Arizona",Education、、、The University of Arizona、、、Neuroscience、、、2013 - April 2017、、、Bentonville High School、、、High school、、、Class of 2013,February 12,"Bentonville, Arkansas",Male
"Work、、、Swagel Wootton Eye Institute、、、Multimedia Specialist、、、February 9, 2022 - Present、、、Arizona Eye Consultants、、、Ophthalmic Medical Scribe、、、Tucson, Arizona、、、The Gothard Lab、、、Undergraduate Research Assistant、、、Tucson, Arizona、、、Arizona Daily Wildcat、、、Science Reporter、、、UA College of Architecture, Planning, and Landscape Architecture、、、Office Assistant、、、Tucson, Arizona",Education、、、The University of Arizona、、、Neuroscience、、、2013 - April 2017、、、Bentonville High School、、、High school、、、Class of 2013,February 12,"Bentonville, Arkansas",Male
Work、、、ExxonMobil、、、Plant operator、、、December 2021 - Present、、、U.S. Army,Education、、、San Jacinto College、、、College、、、Pearland High School、、、High school、、、Class of 2008,,"Pearland, Texas",Male
"Work、、、Navy Federal Credit Union、、、December 1, 2016 - Present、、、St. Louis Sting Baseball",Education、、、Florida A&M University、、、Finance、、、Class of 2016、、、McCluer North High、、、High school、、、Class of 2012,,"St. Louis, Missouri",Male
"Work、、、Enveil、、、Software Engineer、、、March 8, 2021 - Present、、、Software engineer at Enveil, a data security company, implementing algorithms for secure processing of data on distributed systems.、、、Northrop Grumman Corporation、、、Principal Software Engineer、、、April 2018 - March 5, 2021、、、Pragmatic Ways、、、Independent software developer、、、November 2015 - June 2017、、、Oak Harbor, Washington、、、US Navy、、、Aviation Electronics Technician、、、August 2011 - August 2015",Education、、、Fond du Lac High School、、、High school、、、Class of 2009,,"Fond du Lac, Wisconsin",Male
"Work、、、Walmart、、、January 9, 2021 - Present",Education、、、North East High、、、High school、、、Class of 1995、、、I went,,"North East, Maryland",Male
Work、、、Walmart、、、Wal-Mart,Education、、、Lake Hamilton Senior High、、、College、、、Lake Hamilton Senior High、、、High school,,"Hot Springs, Arkansas",Male
"Work、、、Fox Corporation、、、Senior Manager, Video Engineering、、、2006 - Present",Education、、、Bergen Community College、、、College,,"Fairview, New Jersey",Male
"Work、、、CVR、、、2018 - Present、、、WFYI、、、2014 - 2015、、、Indianapolis, Indiana、、、Indiana University、、、2010 - 2014",Education、、、Indiana University (Bloomington)、、、Journalism,,"Fishers, Indiana",Male
,,"February 15, 1990","Allentown, Pennsylvania",Male
"Work、、、Ryan Homes、、、Intern、、、May 23, 2022 - April 2023、、、Akron, Ohio","Education、、、Kent State University、、、College、、、January 19, 2020 - Present、、、Strongsville High School、、、High school",,"Billings, Montana",Male
"Work、、、Ryan Homes、、、Intern、、、May 23, 2022 - April 2023、、、Akron, Ohio","Education、、、Kent State University、、、College、、、January 19, 2020 - Present、、、Strongsville High School、、、High school",,"Billings, Montana",Male
"Work、、、Reardon Briggs Lawn and Garden Equipment、、、2000 - Present、、、Salt Point, New York","Education、、、Ohio Technical College、、、Motorcycle/ATV/Personal Watercraft, small engines, Welding、、、Class of 1999、、、Webutuck High School、、、High school",,"Amenia, New York",Male
